combineId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFull,college,ageAtDraft,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle
10063,1987,SS,70.4,190,9.25,Tony Elliott,Central Michigan,23.312328767123300,30.5,4.84,27.0,8.0,4.21,103.0,,11.73
10064,1987,RB,68.6,193,9.25,Larry Emory,Wisconsin,,30.0,4.6,30.0,13.0,4.02,116.0,,11.47
10065,1987,ILB,74.0,220,9.5,Byron Evans,Arizona,23.19178082191780,32.75,4.79,29.5,17.0,4.48,117.0,,11.94
10066,1987,DT,73.8,262,8.5,Donald Evans,Winston-Salem State (NC),23.136986301369900,32.0,4.62,31.0,29.0,4.52,115.0,,
10067,1987,FS,68.0,177,9.5,Thomas Everett,Baylor,22.446575342465800,30.0,4.56,,11.0,,,,
10068,1987,ILB,74.8,240,9.75,Chuck Faucette,Maryland,23.572602739726000,30.5,4.91,30.0,,4.46,113.0,,11.91
10069,1987,FB,74.3,246,9.75,Rick Fenney,Washington,22.4027397260274,31.5,4.79,29.5,28.0,4.46,101.0,,11.91
10070,1987,RB,71.6,199,9.75,Terrence Flagler,Clemson,22.605479452054800,30.0,4.52,30.5,15.0,4.41,113.0,,12.2
10071,1987,RB,71.9,211,9.5,Kenny Flowers,Clemson,23.136986301369900,31.25,4.44,31.0,14.0,4.4,119.0,,11.86
10072,1987,CB,69.4,188,8.5,Ron Francis,Baylor,23.07123287671230,30.0,4.49,34.0,8.0,4.06,115.0,,11.28
10073,1987,OT,78.5,291,10.5,Chris Gambol,Iowa,22.632876712328800,33.5,5.2,27.0,21.0,4.69,110.0,,
10074,1987,QB,74.3,193,9.5,Rich Gannon,Delaware,21.367123287671200,30.0,4.58,32.5,7.0,4.11,110.0,,
10075,1987,DT,76.9,272,10.75,Mark Garalczyk,Western Michigan,22.723287671232900,31.75,5.01,28.0,14.0,4.56,106.0,,
10076,1987,WR,74.1,204,10.5,Everett Gay,Texas,22.526027397260300,32.5,4.6,37.5,2.0,4.38,123.0,,11.57
10077,1987,OT,76.5,274,9.75,John Gesek,Sacramento State (CA),24.205479452054800,32.0,5.21,25.5,23.0,4.87,107.0,,
10078,1987,SS,71.8,197,8.0,Charles Glaze,South Carolina State,21.638356164383600,30.75,4.5,29.5,,4.5,115.0,,11.8
10079,1987,OG,79.0,310,9.75,Kevin Gogan,Washington,22.4986301369863,32.75,5.46,20.5,,4.88,88.0,,
10080,1987,CB,71.6,192,9.75,Chris Goode,Alabama,23.627397260274000,31.75,4.6,33.0,2.0,4.25,116.0,,11.38
10081,1987,OLB,76.8,239,9.75,Alex Gordon,Cincinnati,22.632876712328800,34.0,4.85,29.0,13.0,4.62,115.0,,12.81
10082,1987,FS,70.5,195,9.0,Sonny Gordon,Ohio State,21.75890410958900,31.25,4.6,30.5,19.0,,106.0,,
10083,1987,OLB,77.0,240,9.5,Rick Graf,Wisconsin,22.676712328767100,32.0,4.66,34.0,18.0,4.02,122.0,,11.56
10084,1987,ILB,73.5,240,9.5,Don Graham,Penn State,23.254794520547900,31.0,4.85,29.0,18.0,4.21,105.0,,11.77
10085,1987,FB,72.3,206,9.25,Marcus Greenwood,UCLA,24.15890410958900,30.75,4.65,32.0,13.0,4.12,112.0,,11.74
10086,1987,CB,73.1,200,8.75,Wayne Haddix,Liberty (VA),21.778082191780800,32.75,4.67,37.0,8.0,4.35,122.0,,11.36
10087,1987,CB,72.0,202,9.25,Delton Hall,Clemson,22.293150684931500,30.0,4.48,30.5,3.0,4.61,112.0,,12.4
10088,1987,TE,76.1,239,10.0,Ron Hall,Hawaii,23.134246575342500,32.0,4.71,28.5,20.0,4.14,111.0,,11.41
10089,1987,QB,76.3,217,10.25,Shawn Halloran,Boston,23.027397260274000,31.25,5.14,23.5,10.0,4.53,94.0,,
10090,1987,RB,70.3,196,9.25,Tracy Ham,Georgia Southern,23.326027397260300,30.0,4.74,28.0,6.0,4.28,110.0,,11.8
10091,1987,OT,76.8,258,8.75,James Hansen,Utah,,31.75,5.09,24.0,21.0,4.43,108.0,,
10092,1987,QB,74.3,203,9.75,Jim Harbaugh,Michigan,23.361643835616400,31.25,,,,,,,
10093,1987,OT,77.9,270,9.5,Archie Harris,William & Mary,22.457534246575300,32.25,5.08,,31.0,,,,
10094,1987,TE,76.3,244,10.0,William Harris,Bishop (TX),22.224657534246600,33.0,4.71,28.0,10.0,4.43,107.0,,12.6
10095,1987,RB,70.8,219,9.5,Lakei Heimuli,BYU,21.85753424657530,30.0,4.81,29.5,20.0,4.75,101.0,,12.63
10096,1987,WR,69.3,174,8.25,Thomas Henley,Stanford,21.764383561643800,29.75,4.53,31.0,,4.22,108.0,,11.57
10097,1987,CB,69.4,192,9.0,Cliff Hicks,Oregon,22.706849315068500,29.5,4.5,31.5,8.0,4.34,116.0,,11.33
10098,1987,FB,72.9,236,9.5,Alonzo Highsmith,Miami (FL),22.18082191780820,33.0,,34.0,27.0,,118.0,,
10099,1987,WR,71.8,173,,Bruce Hill,Arizona State,23.175342465753400,,4.49,30.5,,4.03,116.0,,11.36
10100,1987,WR,70.6,190,8.75,Lonzell Hill,Washington,21.602739726027400,30.75,4.57,31.0,,4.11,113.0,,11.32
10101,1987,FB,72.6,210,8.5,Merril Hoge,Idaho State,22.265753424657500,30.0,4.89,28.5,15.0,4.09,100.0,,11.33
10102,1987,RB,71.1,208,9.25,John Holifield,West Virginia,22.802739726027400,31.0,4.55,30.5,14.0,4.15,115.0,,11.67
10103,1987,OLB,73.8,226,10.25,Johnny Holland,Texas A&M,22.145205479452100,33.0,4.76,33.5,16.0,4.36,124.0,,11.89
10104,1987,OLB,73.9,229,10.5,Bruce Holmes,Minnesota,22.523287671232900,31.5,4.92,28.0,15.0,4.5,105.0,,12.4
10105,1987,SS,74.4,188,9.0,Darryl Holmes,Fort Valley State (GA),,32.5,4.73,30.5,2.0,4.22,116.0,,11.53
10106,1987,WR,72.5,186,,Jon Horton,Arizona,,,4.64,30.0,2.0,,116.0,,
10107,1987,OLB,74.9,237,9.5,Todd Howard,Texas A&M,22.202739726027400,32.5,4.8,28.0,17.0,4.5,108.0,,12.16
10108,1987,QB,73.8,197,7.25,Doug Hudson,Nicholls State (LA),22.64109589041100,29.0,4.86,25.0,,4.52,105.0,,
10109,1987,WR,70.6,188,9.0,Mark Ingram,Michigan State,21.693150684931500,30.25,4.42,32.0,8.0,4.16,111.0,,11.42
10110,1987,K,71.4,190,8.5,Jeff Jaeger,Washington,22.432876712328800,30.0,4.96,26.0,6.0,4.49,103.0,,
10111,1987,WR,70.9,185,9.75,Michel James,Washington State,23.454794520547900,30.25,4.5,35.0,16.0,4.37,117.0,,11.44
10112,1987,ILB,75.5,231,8.5,Ilia Jarostchuk,New Hampshire,22.753424657534200,30.5,4.77,31.0,,4.43,116.0,,11.88
10113,1987,DT,73.0,266,9.25,Curt Jarvis,Alabama,22.26027397260270,30.25,5.08,24.5,15.0,4.69,92.0,,
10114,1987,WR,74.1,191,9.0,Haywood Jeffires,NC State,22.389041095890400,33.0,4.41,,,,,,
10115,1987,RB,75.3,218,10.25,Alfred Jenkins,Arizona,23.087671232876700,32.0,4.74,31.0,,4.49,116.0,,
10116,1987,RB,71.3,190,9.5,Tim Jessie,Auburn,24.175342465753400,31.25,,,12.0,,,,
10117,1987,DT,74.0,253,9.25,Tim Johnson,Penn State,22.257534246575300,31.25,5.03,25.0,20.0,4.56,100.0,,
10118,1987,OLB,71.1,240,9.25,Walter Johnson,Louisiana Tech,23.471232876712300,32.0,4.54,29.5,22.0,4.36,116.0,,11.33
10119,1987,DT,73.0,257,9.5,Walter Johnson,Pittsburgh,,31.25,4.97,28.5,20.0,4.86,110.0,,
10120,1987,DE,76.0,232,9.75,Will Johnson,Louisiana-Monroe,22.410958904109600,33.25,,33.5,17.0,,115.0,,
10121,1987,ILB,73.1,223,9.5,Dale Jones,Tennessee,24.156164383561600,29.75,4.91,25.0,,4.55,101.0,,12.64
10122,1987,FS,73.0,186,8.5,Leonard Jones,Texas Tech,22.512328767123300,30.75,4.64,31.5,9.0,4.33,113.0,,11.8
10123,1987,FS,72.8,194,9.5,Nelson Jones,NC State,23.21917808219180,32.0,4.64,,6.0,,,,
10124,1987,TE,75.3,246,10.0,Rod Jones,Washington,23.167123287671200,32.5,4.85,24.0,14.0,4.47,108.0,,12.53
10125,1987,OLB,75.0,226,8.75,Tim Jordan,Wisconsin,23.019178082191800,31.5,4.6,28.5,21.0,4.2,112.0,,11.42
10126,1987,TE,75.0,242,10.0,Chris Kelley,Akron,22.46849315068490,31.5,4.88,30.0,13.0,4.5,102.0,,12.01
10127,1987,OLB,75.8,221,8.5,Larry Kelm,Texas A&M,22.424657534246600,31.75,4.83,30.0,12.0,4.29,113.0,,11.96
10128,1987,OG,75.6,277,9.5,Paul Kiser,Wake Forest,23.454794520547900,30.75,5.11,26.0,,4.95,93.0,,
10129,1987,DE,80.4,299,10.25,Wally Kleine,Notre Dame,22.528767123287700,35.0,5.2,27.5,18.0,4.74,99.0,,
